user_id,user_name,age,gender,favorite_colors,favorite_categories
43318e54-14e1-4bc6-a4c5-7abc0bdf0a48,Yung Molina,63,Female,"['Aztec Gold', 'Persian Red', 'Beige', 'Smoky Black', 'Silver Foil', 'Olive Drab Camouflage', 'Bright Gray', 'Temptress', 'Rich Black (FOGRA39)', 'Sinopia', 'Old Burgundy', ""Dark Chocolate (Hershey's)"", 'University Of California Gold', 'Licorice', 'CG Red', 'Chinese Silver', 'Jelly Bean', 'Persian Indigo', 'Raw Umber', 'Antique Brass', 'Japanese Indigo', 'Maximum Yellow Red', 'Ochre', 'Blue Cola']","['Soaps & Body Wash', 'Noodles & Pasta', 'Biscuits', 'Pickles & Chutney', 'Breakfast Cereals', 'Shaving Needs', 'Soft Drinks', 'Deos, Perfumes & Talc', 'Ghee & Oils', 'Baking', 'Dairy']"
a167b6c7-9e40-43cf-b48a-f1b206693448,Clarence Meyer,56,Male,"['Sinopia', 'Smoky Black', 'La Salle Green', 'Persian Red', 'Dark Gray (X11)', 'Moss Green', 'Blue-Gray', 'Metallic Brown', 'Café Au Lait', 'Vivid Auburn', 'Permanent Geranium Lake', 'Gamboge', 'Light Moss Green', 'Languid Lavender', 'Khaki (HTML/CSS)', 'Temptress', 'Madder Lake', 'Vivid Cerulean', 'Naples Yellow', 'Jelly Bean', 'Aztec Gold', 'Saffron', 'Dollar Bill', 'Copper Penny', 'Old Lavender', 'Anti-Flash White', 'Carnelian', 'June Bud', 'Charleston Green', 'Floral White', 'Lilac', 'Chestnut', 'Isabelline', 'Firebrick', 'Alabaster', 'Sandstorm', 'Satin Sheen Gold', 'Liver Chestnut (Horses)', 'Dark Pastel Red']","['Chips,Namkeen & Snacks', 'Soft Drinks', 'Shaving Needs', 'Atta & Flours', 'Coffee', 'Baby Bath & Skin Care', 'Biscuits', 'Pickles & Chutney', 'Jams & Honey', 'Diapers & Wipes', 'Wellness & Common Pharma', 'Deos, Perfumes & Talc', 'Chocolates & Sweets', 'Masalas & Spices', 'Household Care|Pet Food', 'Repellants & Fresheners', 'Kajal & Makeup', 'Soaps & Body Wash', 'Baby Foods', 'Hair Care', 'Detergents & Laundry', 'Baking', 'Creams, Lotions, Skin Care', 'Utensil Cleaners', 'Juices', 'Sugar, Jaggery & Salt', 'Dry Fruits, Nuts & Seeds', 'Rice & Rice Products', 'Noodles & Pasta', 'Ready To Cook', 'Paper & Disposables']"
d8cb47ed-f557-44ea-b96c-1a4ea3d35675,Tonisha Kennedy,26,Female,"['Copper', 'Black', 'Space Cadet', 'Medium Vermilion', 'Light Periwinkle', 'Olive Drab Camouflage', 'Charleston Green', 'Beige', 'Carnelian', 'Dark Lava', 'Tangerine', 'International Orange (Engineering)', 'Blue Cola', 'Gamboge', 'International Orange (Golden Gate Bridge)', 'Jasper Orange', 'Dark Gray (X11)', 'American Blue', 'Gold (Crayola)', 'Pine Tree', 'Liver (Organ)', 'Sunny', 'Green (RYB)', 'Almond', 'Dogwood Rose', 'Maximum Blue', 'Coral Red', 'Bronze (Metallic)', 'Alabaster']","['Wellness & Common Pharma', 'Soft Drinks', 'Tea', 'Dry Fruits, Nuts & Seeds', 'Hair Care', 'Pickles & Chutney', 'Floor & Other Cleaners', 'Shaving Needs', 'Baby Bath & Skin Care', 'Sanitary Needs']"
44717718-d9f3-41db-a4bc-b617e92443f3,Stepanie Barrett,61,Male,"['Dark Cornflower Blue', 'Dogwood Rose', 'Ochre', 'Philippine Red', 'Sunray', 'Tan', 'Tangelo', 'Persian Indigo', 'Liver Chestnut (Horses)', 'Liver (Dogs)', 'Burlywood', 'Rosy Brown', 'Brown Yellow', 'Copper', 'Coral Red', 'Vivid Auburn', 'Pine Tree', 'Cool Grey', 'Bright Gray', 'Dirt', 'Maximum Yellow Red', 'Khaki (HTML/CSS)', 'Beige', 'Ruddy Pink', 'Ghost White', 'Blue Cola', 'Jelly Bean', 'Sinopia', 'Pale Silver', 'Royal Brown', 'Tangerine', 'Desert Sand', 'Old Lavender', 'Space Cadet', 'Android Green', 'Forest Green (Web)', 'Satin Sheen Gold', 'Salem', 'Dark Gray (X11)', 'Old Moss Green', 'Liver (Organ)', 'Russet', 'Light Moss Green', 'Café Au Lait', 'Jasper Orange', 'Chestnut', 'Charleston Green', 'Indigo (Rainbow)', 'Tart Orange', 'Medium Vermilion', 'Lavender Gray', 'Flame', 'Chocolate Kisses', 'Brown Coffee', 'Vampire Black', 'Lust', 'Sandstorm', 'Pastel Gray', 'International Orange (Engineering)', 'Gamboge', 'Permanent Geranium Lake', 'American Red', 'Smoky Black', 'Green (RYB)', 'Madder Lake', 'Imperial', 'La Salle Green', 'Violet (Crayola)', 'Cyan Cobalt Blue', 'Light Silver', 'CG Red', 'Bronze (Metallic)', 'Ruby Red', 'Chinese White', 'Light Steel Blue']","['Dals & Pulses', 'Coffee', 'Floor & Other Cleaners', 'Jams & Honey', 'Deos, Perfumes & Talc', 'Juices', 'Cooking Sauces & Vinegar', 'Detergents & Laundry', 'Household Care|Pet Food', 'Dairy', 'Health Drink Mix', 'Masalas & Spices', 'Sanitary Needs', 'Sugar, Jaggery & Salt', 'Creams, Lotions, Skin Care', 'Noodles & Pasta', 'Dry Fruits, Nuts & Seeds', 'Baking', 'Rice & Rice Products', 'Chips,Namkeen & Snacks', 'Ghee & Oils', 'Ketchups & Spreads', 'Chocolates & Sweets']"
730675ac-24e5-49d2-9aca-005961f15311,Emile Chang,39,Male,"['Medium Carmine', 'Dutch White', 'International Orange (Golden Gate Bridge)', ""Dark Chocolate (Hershey's)"", 'Silver Sand', 'Almond', 'Chocolate Kisses', 'Antique Brass', 'Ruddy Pink', 'Ruby Red', 'Timberwolf', 'Old Burgundy', 'Yankees Blue', ""St. Patrick's Blue"", 'Khaki (HTML/CSS)', 'Candy Pink', 'Pastel Gray', 'Sinopia', 'Copper Penny', 'Carnelian', 'Tart Orange', 'Old Gold', 'Midnight Blue', 'Dark Lava', 'Chinese Red', 'University Of California Gold', 'Anti-Flash White', 'Vegas Gold', 'Meat Brown', 'Indigo (Rainbow)', 'Light Moss Green', 'American Silver', 'Silver Foil', 'Ochre', 'Jasper Orange', 'Tangelo', 'Dark Cornflower Blue', 'Liver Chestnut (Horses)', 'Falu Red', 'Tan (Crayola)', 'Vampire Black', 'Pine Tree', 'Salem', 'Artichoke', 'Marigold', 'Sandstorm', 'Dark Pastel Red', 'Cola', 'Wild Blue Yonder', 'Light Steel Blue', 'Bright Gray', 'Dirt', 'Yale Blue', 'Sunny', 'La Salle Green', 'Dust Storm', 'Platinum', 'Persian Indigo']","['Paper & Disposables', 'Detergents & Laundry', 'Soaps & Body Wash', 'Tea', 'Dry Fruits, Nuts & Seeds', 'Baby Foods', 'Ghee & Oils', 'Juices', 'Baby Bath & Skin Care', 'Chocolates & Sweets', 'Sanitary Needs', 'Pickles & Chutney', 'Chips,Namkeen & Snacks', 'Diapers & Wipes', 'Utensil Cleaners', 'Deos, Perfumes & Talc', 'Pooja Needs', 'Shaving Needs', 'Jams & Honey', 'Repellants & Fresheners', 'Ready To Cook', 'Atta & Flours', 'Floor & Other Cleaners', 'Biscuits', 'Breakfast Cereals', 'Noodles & Pasta', 'Rice & Rice Products', 'Ketchups & Spreads', 'Health Drink Mix', 'Dals & Pulses', 'Baking', 'Kajal & Makeup', 'Oral Care', 'Dairy', 'Wellness & Common Pharma', 'Hair Care', 'Soft Drinks', 'Creams, Lotions, Skin Care']"
1ed722a6-8e55-4182-8f2e-33cc0ec0378e,Reatha Lester,33,Male,"['Silver Pink', 'Apple', 'Vivid Auburn', 'Khaki (HTML/CSS)', 'Sandstorm', 'Sunny', 'Vivid Cerulean', 'Gamboge', 'Jelly Bean', 'Rosy Brown', 'American Blue', 'Licorice', 'Brown Coffee', 'Japanese Indigo', 'Cola', 'Persian Indigo', 'Moss Green', 'Ghost White', 'Tart Orange', 'Antique Brass', 'Rich Black (FOGRA39)', 'Dogwood Rose', 'Light Silver', 'Ochre', 'Alabaster', 'Madder Lake', 'Chinese Silver', 'Onyx', 'Violet (Crayola)', 'Tangerine', 'Bone', ""St. Patrick's Blue"", 'Salem', 'American Silver', 'Floral White', 'Raw Umber', 'Brown (Crayola)', 'Ruby Red', 'Carnelian', 'Orange-Yellow', 'Gainsboro', 'Temptress', 'Timberwolf', 'International Orange (Golden Gate Bridge)', 'Cool Grey', 'Blue Bell', 'Bright Gray', 'Flame', 'Permanent Geranium Lake', 'Liver (Organ)', 'Tan', 'Sunray', 'Old Lavender', 'Coral Red', 'Medium Vermilion', 'Meat Brown', 'Imperial', 'Liver Chestnut (Horses)', 'Maximum Yellow Red', 'Satin Sheen Gold', 'Android Green', 'Beige', 'Light Gray', 'Desert Sand', 'June Bud', 'Dirt', 'International Orange (Engineering)', 'Chestnut', 'Light Moss Green', 'Yankees Blue', 'Lavender Gray', 'Dust Storm', 'CG Red', 'Persian Red', 'Gold (Crayola)', 'Dollar Bill', 'Maximum Blue', 'American Red', 'Cyan Cobalt Blue', 'Dark Pastel Red', 'Metallic Blue', 'Cultured', 'Medium Carmine', 'Chocolate Kisses', 'Carrot Orange', 'Aztec Gold', 'Carolina Blue', 'Black', 'Bronze (Metallic)', 'Charleston Green', 'Philippine Red', 'Tan (Crayola)', 'Copper', 'Vegas Gold', 'Dark Cornflower Blue', 'Isabelline', 'Falu Red', 'Pastel Gray', 'Old Gold', 'University Of California Gold', 'Wild Blue Yonder', 'Blue-Gray', 'Burlywood', 'Vampire Black', 'Tufts Blue', 'Olive Drab Camouflage']","['Health Drink Mix', 'Detergents & Laundry', 'Wellness & Common Pharma', 'Diapers & Wipes', 'Ketchups & Spreads', 'Deos, Perfumes & Talc', 'Household Care|Pet Food', 'Dairy', 'Noodles & Pasta', 'Ghee & Oils', 'Biscuits', 'Dals & Pulses', 'Chips,Namkeen & Snacks', 'Rice & Rice Products', 'Baby Bath & Skin Care', 'Repellants & Fresheners', 'Baking', 'Floor & Other Cleaners', 'Sugar, Jaggery & Salt', 'Utensil Cleaners', 'Juices', 'Baby Foods', 'Breakfast Cereals']"
d0db6bec-e218-408e-9dff-1a8ab2a64cee,Grant Sawyer,49,Female,"['Royal Brown', 'Chestnut']","['Juices', 'Oral Care', 'Ready To Cook']"
9ea79d80-e79d-4d5d-a6c4-600973f71734,Deloras Ferrell,20,Male,"['Light Gray', 'Dark Cornflower Blue', 'Raw Umber', 'Cultured', 'Sunny', 'Spanish Yellow', 'Ruddy Pink', 'International Orange (Golden Gate Bridge)', 'Tangerine', 'Black', 'Space Cadet', 'Pale Taupe', 'La Salle Green', 'Pale Cyan', 'Floral White', 'Aztec Gold', 'Carrot Orange', 'Silver Foil', 'Pastel Gray', 'Languid Lavender', 'Columbia Blue', 'Ghost White', 'Silver Sand', 'Cyan Cobalt Blue', 'Saffron', ""St. Patrick's Blue"", 'Wild Blue Yonder', 'Lilac', 'Metallic Blue', 'Copper', 'Pale Silver', 'Platinum', 'Gainsboro', 'Maximum Blue', 'Gold (Crayola)', 'Ruby Red', 'Tufts Blue', 'Bright Gray', 'Blue Bell', 'Burlywood', 'Tan (Crayola)', 'Candy Pink', 'Vampire Black', 'June Bud', 'Falu Red', 'Bone', 'Midnight Blue', 'Chestnut', 'Apple', 'Philippine Red', 'Sandstorm', 'Madder Lake', 'Tart Orange', 'Flame', 'Dollar Bill', 'Anti-Flash White', 'Marigold', 'Satin Sheen Gold', 'Old Lavender', 'Lavender Gray', 'Ochre', 'Antique Brass', 'Dark Vanilla', 'International Orange (Engineering)', 'Firebrick', 'Yale Blue', 'Chocolate Kisses', 'Dark Gray (X11)', 'Jasper Orange', 'Liver (Organ)', 'Russet', 'Sinopia', 'Cool Grey', 'Brown Coffee', 'American Silver', 'Jelly Bean']","['Juices', 'Health Drink Mix', 'Kajal & Makeup', 'Ready To Cook', 'Pooja Needs', 'Deos, Perfumes & Talc', 'Pickles & Chutney', 'Sugar, Jaggery & Salt']"
e779ab3a-d99a-40a3-b7b0-6ab87fece149,Janella Mann,22,Female,"['American Silver', 'Gold (Crayola)', 'Cultured', 'Candy Pink', 'Burlywood', 'Charleston Green', 'Lilac', 'Dark Gray (X11)', 'Bright Gray', 'Android Green', 'Dirt', 'Liver (Dogs)', 'Beige', 'Anti-Flash White', 'Copper', 'Light Moss Green', 'Ruddy Pink', 'Vivid Auburn', 'Antique Brass', 'Timberwolf', 'Yankees Blue', 'Saffron', 'Ochre', 'Medium Carmine', 'Carolina Blue', 'Silver Foil', 'La Salle Green', 'Brown (Crayola)', 'Yale Blue', 'Aztec Gold', 'Madder Lake', 'Almond', 'Cola', 'Apple', 'Chocolate Kisses', 'Desert Sand', 'Alabaster', 'Dutch White', 'Metallic Blue', 'Dark Slate Blue', 'Russet', 'Brown Yellow', 'Khaki (HTML/CSS)', 'Languid Lavender', 'Café Au Lait', 'Rich Black (FOGRA39)', 'Dark Pastel Red', 'Naples Yellow', 'Maximum Yellow Red', 'Cyan Cobalt Blue', 'Smoky Black', 'Floral White', 'Sandstorm', 'Tan (Crayola)', 'Licorice', 'Vampire Black', 'June Bud', 'Tan', 'Firebrick', 'Temptress', 'Permanent Geranium Lake', 'Indigo (Rainbow)']","['Coffee', 'Rice & Rice Products', 'Ghee & Oils', 'Dals & Pulses', 'Dairy', 'Wellness & Common Pharma', 'Biscuits', 'Oral Care', 'Diapers & Wipes', 'Sanitary Needs', 'Repellants & Fresheners', 'Atta & Flours', 'Baking', 'Ready To Cook', 'Health Drink Mix', 'Baby Foods', 'Juices', 'Floor & Other Cleaners', 'Dry Fruits, Nuts & Seeds', 'Baby Bath & Skin Care', 'Tea', 'Ketchups & Spreads', 'Detergents & Laundry', 'Breakfast Cereals', 'Sugar, Jaggery & Salt', 'Shaving Needs', 'Soaps & Body Wash', 'Creams, Lotions, Skin Care', 'Jams & Honey', 'Chocolates & Sweets', 'Household Care|Pet Food', 'Hair Care', 'Kajal & Makeup', 'Masalas & Spices', 'Cooking Sauces & Vinegar', 'Chips,Namkeen & Snacks', 'Deos, Perfumes & Talc', 'Pickles & Chutney', 'Utensil Cleaners', 'Pooja Needs', 'Soft Drinks']"
ac01c4c3-4295-46b3-a94f-a218697c2a85,Ciera Mclean,58,Female,"['La Salle Green', 'Almond', 'Wild Blue Yonder', 'Flame', 'Space Cadet', 'Salem', 'Solid Pink', 'Yankees Blue', 'Ruby Red', 'Ruddy Pink', 'Copper', 'Light Gray', 'Blue-Gray', 'Dark Lava', 'Chestnut', 'Midnight Blue', 'Philippine Red', 'Onyx', 'Japanese Indigo', 'Blue Bell', 'Tan (Crayola)', ""St. Patrick's Blue"", 'Silver Foil', 'Vampire Black', 'Old Burgundy', 'Lavender Gray', 'Olive Drab Camouflage', 'Metallic Red', 'Chinese Red', 'Raw Umber', 'Honeydew', 'Ghost White', 'Vegas Gold', 'Forest Green (Web)', 'Indigo (Rainbow)', 'American Silver', 'Tufts Blue', 'Chinese Silver', 'Maximum Blue', 'Vivid Auburn', 'Cyan Cobalt Blue', 'Pale Silver', 'Bone', 'Candy Pink', 'Dutch White', 'Lust', 'Brown Yellow', 'Saffron', 'Medium Carmine', 'Chinese White', 'Café Au Lait', 'Charleston Green', 'Sinopia', 'University Of California Gold', 'Gold (Crayola)', 'Cool Grey', 'Tangelo', 'Copper Penny', 'Sunny', 'Ochre', 'Coral Red', 'Chocolate Kisses', 'Pale Cyan', 'Falu Red']","['Shaving Needs', 'Tea', 'Health Drink Mix', 'Coffee', 'Chips,Namkeen & Snacks', 'Paper & Disposables', 'Breakfast Cereals', 'Soft Drinks', 'Sanitary Needs', 'Household Care|Pet Food', 'Noodles & Pasta', 'Deos, Perfumes & Talc', 'Atta & Flours', 'Juices', 'Dry Fruits, Nuts & Seeds', 'Utensil Cleaners']"
